
Host: lyskamm-1-1xl40s-4

Timers On : Sun Dec  7 11:18:55 2025
Timers Off: Sun Dec  7 11:27:41 2025

Wall Time:      525.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| Libint2ERI::Libint2ERI            :      0.550u      0.017s      0.089w     35 calls
| DFH: AO Construction              :      3.433u      0.167s      0.543w      7 calls
| DFH: AO-Met. Contraction          :      3.567u      0.267s      0.570w      7 calls
HF: Form core H                     :      0.217u      0.017s      0.037w      7 calls
HF: Form S/X                        :      0.117u      0.000s      0.015w      7 calls
HF: Guess                           :      1.217u      0.083s      0.192w      7 calls
| SAD Guess                         :      1.150u      0.083s      0.186w      7 calls
HF: Form G                          :    133.417u      1.400s     20.209w     89 calls
| RV: Form V                        :    119.100u      0.067s     17.845w     89 calls
| | Properties                      :     20.550p                         259657 calls
| | Functional                      :     12.445p                         259657 calls
| | V_xc                            :     38.079p                         259657 calls
| JK: D                             :      0.033u      0.000s      0.004w     89 calls
| JK: USO2AO                        :      0.017u      0.000s      0.000w     89 calls
| JK: JK                            :     14.133u      1.333s      2.341w     89 calls
| | DFH: compute_JK()               :     14.067u      1.333s      2.337w     89 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     89 calls
| | | DFH: compute_J                :      2.133u      0.000s      0.312w     89 calls
| | | DFH: compute_K                :      7.183u      0.017s      1.107w     89 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     89 calls
HF: Form F                          :      0.017u      0.000s      0.004w     89 calls
HF: Form D                          :      0.000u      0.000s      0.003w     89 calls
HF: DIIS                            :      2.050u      0.150s      0.330w     82 calls
HF: Form C                          :      1.133u      0.000s      0.171w     82 calls

**************************************************************************************

Host: lyskamm-1-1xl40s-4

Timers On : Sun Dec  7 11:43:55 2025
Timers Off: Sun Dec  7 11:46:52 2025

Wall Time:      176.62 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     52.267u      0.583s      7.966w     25 calls
build grid                          :     32.167u      0.150s      4.838w     25 calls
post-process grid                   :     20.067u      0.433s      3.124w     25 calls
DFH: sparsity prep                  :      0.967u      0.000s      0.527w     25 calls
Libint2ERI::Libint2ERI              :      2.750u      0.033s      0.701w    150 calls
DFH: initialize()                   :     47.717u      3.017s      7.666w     25 calls
DFH: AO Construction                :     13.767u      0.417s      2.134w     25 calls
DFH: AO-Met. Contraction            :     13.000u      1.933s      2.229w     25 calls
HF: Form core H                     :      0.800u      0.000s      0.124w     25 calls
HF: Form S/X                        :      0.333u      0.033s      0.053w     25 calls
HF: Guess                           :      6.550u      0.267s      1.023w     25 calls
SAD Guess                           :      6.433u      0.267s      1.002w     25 calls
HF: Form G                          :    549.500u      2.083s     82.646w    352 calls
RV: Form V                          :    499.233u      0.183s     74.820w    352 calls
Properties                          :     85.455p                         978091 calls
Functional                          :     47.281p                         978091 calls
V_xc                                :    165.258p                         978091 calls
JK: D                               :      0.083u      0.000s      0.016w    352 calls
JK: USO2AO                          :      0.017u      0.000s      0.002w    352 calls
JK: JK                              :     49.667u      1.867s      7.727w    352 calls
DFH: compute_JK()                   :     49.400u      1.850s      7.711w    352 calls
DFH: Grabbing AOs                   :      0.017u      0.000s      0.001w    352 calls
DFH: compute_J                      :      8.467u      0.033s      1.284w    352 calls
DFH: compute_K                      :     28.750u      0.017s      4.403w    352 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    352 calls
HF: Form F                          :      0.050u      0.000s      0.015w    352 calls
HF: Form D                          :      0.017u      0.000s      0.010w    352 calls
HF: DIIS                            :      8.967u      0.567s      1.440w    327 calls
HF: Form C                          :      4.450u      0.050s      0.688w    327 calls

--------------------------------------------------------------------------------------
V: Grid                             :     52.267u      0.583s      7.966w     25 calls
| build grid                        :     32.167u      0.150s      4.838w     25 calls
| post-process grid                 :     20.067u      0.433s      3.124w     25 calls
DFH: sparsity prep                  :      0.967u      0.000s      0.527w     25 calls
| Libint2ERI::Libint2ERI            :      0.650u      0.000s      0.356w     25 calls
DFH: initialize()                   :     47.717u      3.017s      7.666w     25 calls
| Libint2ERI::Libint2ERI            :      2.100u      0.033s      0.345w    125 calls
| DFH: AO Construction              :     13.767u      0.417s      2.134w     25 calls
| DFH: AO-Met. Contraction          :     13.000u      1.933s      2.229w     25 calls
HF: Form core H                     :      0.800u      0.000s      0.124w     25 calls
HF: Form S/X                        :      0.333u      0.033s      0.053w     25 calls
HF: Guess                           :      6.550u      0.267s      1.023w     25 calls
| SAD Guess                         :      6.433u      0.267s      1.002w     25 calls
HF: Form G                          :    549.500u      2.083s     82.646w    352 calls
| RV: Form V                        :    499.233u      0.183s     74.820w    352 calls
| | Properties                      :     85.455p                         978091 calls
| | Functional                      :     47.281p                         978091 calls
| | V_xc                            :    165.258p                         978091 calls
| JK: D                             :      0.083u      0.000s      0.016w    352 calls
| JK: USO2AO                        :      0.017u      0.000s      0.002w    352 calls
| JK: JK                            :     49.667u      1.867s      7.727w    352 calls
| | DFH: compute_JK()               :     49.400u      1.850s      7.711w    352 calls
| | | DFH: Grabbing AOs             :      0.017u      0.000s      0.001w    352 calls
| | | DFH: compute_J                :      8.467u      0.033s      1.284w    352 calls
| | | DFH: compute_K                :     28.750u      0.017s      4.403w    352 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    352 calls
HF: Form F                          :      0.050u      0.000s      0.015w    352 calls
HF: Form D                          :      0.017u      0.000s      0.010w    352 calls
HF: DIIS                            :      8.967u      0.567s      1.440w    327 calls
HF: Form C                          :      4.450u      0.050s      0.688w    327 calls

**************************************************************************************

Host: lyskamm-1-1xl40s-4

Timers On : Sun Dec  7 11:41:55 2025
Timers Off: Sun Dec  7 11:50:13 2025

Wall Time:      498.34 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     15.650u      0.183s      2.394w      7 calls
build grid                          :      9.300u      0.067s      1.410w      7 calls
post-process grid                   :      6.333u      0.117s      0.984w      7 calls
DFH: sparsity prep                  :      0.217u      0.017s      0.152w      7 calls
Libint2ERI::Libint2ERI              :      0.717u      0.050s      0.196w     42 calls
DFH: initialize()                   :     17.967u      0.800s      2.827w      7 calls
DFH: AO Construction                :      4.783u      0.250s      0.757w      7 calls
DFH: AO-Met. Contraction            :      4.150u      0.250s      0.651w      7 calls
HF: Form core H                     :      0.300u      0.000s      0.047w      7 calls
HF: Form S/X                        :      0.150u      0.000s      0.021w      7 calls
HF: Guess                           :      1.400u      0.083s      0.222w      7 calls
SAD Guess                           :      1.350u      0.083s      0.215w      7 calls
HF: Form G                          :    256.067u      2.350s     38.719w     89 calls
RV: Form V                          :    237.883u      0.150s     35.644w     89 calls
Properties                          :     23.451p                         259657 calls
Functional                          :     12.686p                         259657 calls
V_xc                                :    105.846p                         259657 calls
JK: D                               :      0.017u      0.000s      0.006w     89 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     89 calls
JK: JK                              :     17.950u      2.183s      3.036w     89 calls
DFH: compute_JK()                   :     17.950u      2.183s      3.031w     89 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     89 calls
DFH: compute_J                      :      2.617u      0.000s      0.383w     89 calls
DFH: compute_K                      :      8.183u      0.100s      1.249w     89 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     89 calls
HF: Form F                          :      0.017u      0.000s      0.005w     89 calls
HF: Form D                          :      0.033u      0.000s      0.005w     89 calls
HF: DIIS                            :      2.600u      0.183s      0.423w     82 calls
HF: Form C                          :      1.550u      0.000s      0.229w     82 calls

--------------------------------------------------------------------------------------
V: Grid                             :     15.650u      0.183s      2.394w      7 calls
| build grid                        :      9.300u      0.067s      1.410w      7 calls
| post-process grid                 :      6.333u      0.117s      0.984w      7 calls
DFH: sparsity prep                  :      0.217u      0.017s      0.152w      7 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.017s      0.102w      7 calls
DFH: initialize()                   :     17.967u      0.800s      2.827w      7 calls
| Libint2ERI::Libint2ERI            :      0.600u      0.033s      0.094w     35 calls
| DFH: AO Construction              :      4.783u      0.250s      0.757w      7 calls
| DFH: AO-Met. Contraction          :      4.150u      0.250s      0.651w      7 calls
HF: Form core H                     :      0.300u      0.000s      0.047w      7 calls
HF: Form S/X                        :      0.150u      0.000s      0.021w      7 calls
HF: Guess                           :      1.400u      0.083s      0.222w      7 calls
| SAD Guess                         :      1.350u      0.083s      0.215w      7 calls
HF: Form G                          :    256.067u      2.350s     38.719w     89 calls
| RV: Form V                        :    237.883u      0.150s     35.644w     89 calls
| | Properties                      :     23.451p                         259657 calls
| | Functional                      :     12.686p                         259657 calls
| | V_xc                            :    105.846p                         259657 calls
| JK: D                             :      0.017u      0.000s      0.006w     89 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     89 calls
| JK: JK                            :     17.950u      2.183s      3.036w     89 calls
| | DFH: compute_JK()               :     17.950u      2.183s      3.031w     89 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     89 calls
| | | DFH: compute_J                :      2.617u      0.000s      0.383w     89 calls
| | | DFH: compute_K                :      8.183u      0.100s      1.249w     89 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     89 calls
HF: Form F                          :      0.017u      0.000s      0.005w     89 calls
HF: Form D                          :      0.033u      0.000s      0.005w     89 calls
HF: DIIS                            :      2.600u      0.183s      0.423w     82 calls
HF: Form C                          :      1.550u      0.000s      0.229w     82 calls

**************************************************************************************

Host: lyskamm-1-1xl40s-4

Timers On : Sun Dec  7 11:46:58 2025
Timers Off: Sun Dec  7 11:52:12 2025

Wall Time:      314.76 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     58.733u      0.700s      9.016w     29 calls
build grid                          :     36.367u      0.150s      5.480w     29 calls
post-process grid                   :     22.367u      0.550s      3.532w     29 calls
DFH: sparsity prep                  :      1.083u      0.000s      0.614w     29 calls
Libint2ERI::Libint2ERI              :      3.217u      0.033s      0.816w    174 calls
DFH: initialize()                   :     73.600u      4.867s     11.846w     29 calls
DFH: AO Construction                :     23.267u      0.817s      3.607w     29 calls
DFH: AO-Met. Contraction            :     15.250u      3.083s      2.751w     29 calls
HF: Form core H                     :      1.067u      0.017s      0.165w     29 calls
HF: Form S/X                        :      0.500u      0.017s      0.075w     29 calls
HF: Guess                           :      8.900u      0.367s      1.388w     29 calls
SAD Guess                           :      8.733u      0.367s      1.363w     29 calls
HF: Form G                          :   1326.483u      7.567s    199.719w    470 calls
RV: Form V                          :   1241.783u      1.000s    186.078w    470 calls
Properties                          :    132.005p                         1342231 calls
Functional                          :     65.933p                         1342231 calls
V_xc                                :    543.596p                         1342231 calls
JK: D                               :      0.150u      0.000s      0.028w    470 calls
JK: USO2AO                          :      0.017u      0.000s      0.003w    470 calls
JK: JK                              :     83.450u      6.467s     13.449w    470 calls
DFH: compute_JK()                   :     83.217u      6.467s     13.425w    470 calls
DFH: Grabbing AOs                   :      0.017u      0.000s      0.001w    470 calls
DFH: compute_J                      :     13.200u      0.033s      2.054w    470 calls
DFH: compute_K                      :     44.183u      0.517s      6.744w    470 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w    470 calls
HF: Form F                          :      0.183u      0.017s      0.024w    470 calls
HF: Form D                          :      0.133u      0.000s      0.024w    470 calls
HF: DIIS                            :     12.967u      0.800s      2.054w    441 calls
HF: Form C                          :      7.633u      0.033s      1.168w    441 calls

--------------------------------------------------------------------------------------
V: Grid                             :     58.733u      0.700s      9.016w     29 calls
| build grid                        :     36.367u      0.150s      5.480w     29 calls
| post-process grid                 :     22.367u      0.550s      3.532w     29 calls
DFH: sparsity prep                  :      1.083u      0.000s      0.614w     29 calls
| Libint2ERI::Libint2ERI            :      0.750u      0.000s      0.417w     29 calls
DFH: initialize()                   :     73.600u      4.867s     11.846w     29 calls
| Libint2ERI::Libint2ERI            :      2.467u      0.033s      0.398w    145 calls
| DFH: AO Construction              :     23.267u      0.817s      3.607w     29 calls
| DFH: AO-Met. Contraction          :     15.250u      3.083s      2.751w     29 calls
HF: Form core H                     :      1.067u      0.017s      0.165w     29 calls
HF: Form S/X                        :      0.500u      0.017s      0.075w     29 calls
HF: Guess                           :      8.900u      0.367s      1.388w     29 calls
| SAD Guess                         :      8.733u      0.367s      1.363w     29 calls
HF: Form G                          :   1326.483u      7.567s    199.719w    470 calls
| RV: Form V                        :   1241.783u      1.000s    186.078w    470 calls
| | Properties                      :    132.005p                         1342231 calls
| | Functional                      :     65.933p                         1342231 calls
| | V_xc                            :    543.596p                         1342231 calls
| JK: D                             :      0.150u      0.000s      0.028w    470 calls
| JK: USO2AO                        :      0.017u      0.000s      0.003w    470 calls
| JK: JK                            :     83.450u      6.467s     13.449w    470 calls
| | DFH: compute_JK()               :     83.217u      6.467s     13.425w    470 calls
| | | DFH: Grabbing AOs             :      0.017u      0.000s      0.001w    470 calls
| | | DFH: compute_J                :     13.200u      0.033s      2.054w    470 calls
| | | DFH: compute_K                :     44.183u      0.517s      6.744w    470 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w    470 calls
HF: Form F                          :      0.183u      0.017s      0.024w    470 calls
HF: Form D                          :      0.133u      0.000s      0.024w    470 calls
HF: DIIS                            :     12.967u      0.800s      2.054w    441 calls
HF: Form C                          :      7.633u      0.033s      1.168w    441 calls

**************************************************************************************

Host: lyskamm-1-1xl40s-4

Timers On : Sun Dec  7 11:52:17 2025
Timers Off: Sun Dec  7 11:56:28 2025

Wall Time:      250.29 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     50.750u      0.617s      7.705w     30 calls
build grid                          :     29.833u      0.233s      4.498w     30 calls
post-process grid                   :     20.900u      0.383s      3.202w     30 calls
DFH: sparsity prep                  :      1.317u      0.000s      0.609w     30 calls
Libint2ERI::Libint2ERI              :      3.283u      0.083s      0.801w    180 calls
DFH: initialize()                   :     66.933u      6.067s     10.998w     30 calls
DFH: AO Construction                :     18.333u      1.583s      2.983w     30 calls
DFH: AO-Met. Contraction            :     13.733u      3.517s      2.581w     30 calls
HF: Form core H                     :      1.050u      0.033s      0.167w     30 calls
HF: Form S/X                        :      0.467u      0.000s      0.075w     30 calls
HF: Guess                           :      8.883u      0.333s      1.389w     30 calls
SAD Guess                           :      8.750u      0.333s      1.363w     30 calls
HF: Form G                          :    652.633u      6.800s     98.744w    353 calls
RV: Form V                          :    594.017u      0.333s     89.007w    353 calls
Properties                          :     74.417p                         880517 calls
Functional                          :     43.079p                         880517 calls
V_xc                                :    236.814p                         880517 calls
JK: D                               :      0.033u      0.000s      0.021w    353 calls
JK: USO2AO                          :      0.017u      0.000s      0.002w    353 calls
JK: JK                              :     58.000u      6.433s      9.615w    353 calls
DFH: compute_JK()                   :     57.750u      6.433s      9.599w    353 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    353 calls
DFH: compute_J                      :      8.917u      0.067s      1.341w    353 calls
DFH: compute_K                      :     27.433u      0.383s      4.226w    353 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    353 calls
HF: Form F                          :      0.100u      0.000s      0.017w    353 calls
HF: Form D                          :      0.083u      0.017s      0.018w    353 calls
HF: DIIS                            :      9.117u      0.467s      1.458w    323 calls
HF: Form C                          :      5.317u      0.133s      0.798w    323 calls

--------------------------------------------------------------------------------------
V: Grid                             :     50.750u      0.617s      7.705w     30 calls
| build grid                        :     29.833u      0.233s      4.498w     30 calls
| post-process grid                 :     20.900u      0.383s      3.202w     30 calls
DFH: sparsity prep                  :      1.317u      0.000s      0.609w     30 calls
| Libint2ERI::Libint2ERI            :      0.850u      0.000s      0.409w     30 calls
DFH: initialize()                   :     66.933u      6.067s     10.998w     30 calls
| Libint2ERI::Libint2ERI            :      2.433u      0.083s      0.392w    150 calls
| DFH: AO Construction              :     18.333u      1.583s      2.983w     30 calls
| DFH: AO-Met. Contraction          :     13.733u      3.517s      2.581w     30 calls
HF: Form core H                     :      1.050u      0.033s      0.167w     30 calls
HF: Form S/X                        :      0.467u      0.000s      0.075w     30 calls
HF: Guess                           :      8.883u      0.333s      1.389w     30 calls
| SAD Guess                         :      8.750u      0.333s      1.363w     30 calls
HF: Form G                          :    652.633u      6.800s     98.744w    353 calls
| RV: Form V                        :    594.017u      0.333s     89.007w    353 calls
| | Properties                      :     74.417p                         880517 calls
| | Functional                      :     43.079p                         880517 calls
| | V_xc                            :    236.814p                         880517 calls
| JK: D                             :      0.033u      0.000s      0.021w    353 calls
| JK: USO2AO                        :      0.017u      0.000s      0.002w    353 calls
| JK: JK                            :     58.000u      6.433s      9.615w    353 calls
| | DFH: compute_JK()               :     57.750u      6.433s      9.599w    353 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    353 calls
| | | DFH: compute_J                :      8.917u      0.067s      1.341w    353 calls
| | | DFH: compute_K                :     27.433u      0.383s      4.226w    353 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    353 calls
HF: Form F                          :      0.100u      0.000s      0.017w    353 calls
HF: Form D                          :      0.083u      0.017s      0.018w    353 calls
HF: DIIS                            :      9.117u      0.467s      1.458w    323 calls
HF: Form C                          :      5.317u      0.133s      0.798w    323 calls

**************************************************************************************

Host: lyskamm-1-1xl40s-4

Timers On : Sun Dec  7 11:50:19 2025
Timers Off: Sun Dec  7 11:59:11 2025

Wall Time:      532.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     17.500u      0.267s      2.667w      8 calls
build grid                          :     10.633u      0.117s      1.606w      8 calls
post-process grid                   :      6.867u      0.150s      1.061w      8 calls
DFH: sparsity prep                  :      0.267u      0.000s      0.176w      8 calls
Libint2ERI::Libint2ERI              :      0.917u      0.000s      0.226w     48 calls
DFH: initialize()                   :     19.700u      1.733s      3.227w      8 calls
DFH: AO Construction                :      5.517u      0.367s      0.888w      8 calls
DFH: AO-Met. Contraction            :      4.317u      1.017s      0.795w      8 calls
HF: Form core H                     :      0.333u      0.033s      0.051w      8 calls
HF: Form S/X                        :      0.133u      0.000s      0.022w      8 calls
HF: Guess                           :      1.817u      0.117s      0.288w      8 calls
SAD Guess                           :      1.767u      0.100s      0.281w      8 calls
HF: Form G                          :    213.600u      2.733s     32.416w     96 calls
RV: Form V                          :    193.533u      0.133s     28.999w     96 calls
Properties                          :     23.800p                         278141 calls
Functional                          :     13.562p                         278141 calls
V_xc                                :     78.124p                         278141 calls
JK: D                               :      0.050u      0.000s      0.006w     96 calls
JK: USO2AO                          :      0.017u      0.000s      0.001w     96 calls
JK: JK                              :     19.867u      2.583s      3.379w     96 calls
DFH: compute_JK()                   :     19.817u      2.583s      3.374w     96 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     96 calls
DFH: compute_J                      :      2.650u      0.000s      0.412w     96 calls
DFH: compute_K                      :      8.883u      0.217s      1.367w     96 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     96 calls
HF: Form F                          :      0.017u      0.000s      0.005w     96 calls
HF: Form D                          :      0.000u      0.000s      0.005w     96 calls
HF: DIIS                            :      2.550u      0.267s      0.413w     88 calls
HF: Form C                          :      1.567u      0.017s      0.233w     88 calls

--------------------------------------------------------------------------------------
V: Grid                             :     17.500u      0.267s      2.667w      8 calls
| build grid                        :     10.633u      0.117s      1.606w      8 calls
| post-process grid                 :      6.867u      0.150s      1.061w      8 calls
DFH: sparsity prep                  :      0.267u      0.000s      0.176w      8 calls
| Libint2ERI::Libint2ERI            :      0.183u      0.000s      0.117w      8 calls
DFH: initialize()                   :     19.700u      1.733s      3.227w      8 calls
| Libint2ERI::Libint2ERI            :      0.733u      0.000s      0.109w     40 calls
| DFH: AO Construction              :      5.517u      0.367s      0.888w      8 calls
| DFH: AO-Met. Contraction          :      4.317u      1.017s      0.795w      8 calls
HF: Form core H                     :      0.333u      0.033s      0.051w      8 calls
HF: Form S/X                        :      0.133u      0.000s      0.022w      8 calls
HF: Guess                           :      1.817u      0.117s      0.288w      8 calls
| SAD Guess                         :      1.767u      0.100s      0.281w      8 calls
HF: Form G                          :    213.600u      2.733s     32.416w     96 calls
| RV: Form V                        :    193.533u      0.133s     28.999w     96 calls
| | Properties                      :     23.800p                         278141 calls
| | Functional                      :     13.562p                         278141 calls
| | V_xc                            :     78.124p                         278141 calls
| JK: D                             :      0.050u      0.000s      0.006w     96 calls
| JK: USO2AO                        :      0.017u      0.000s      0.001w     96 calls
| JK: JK                            :     19.867u      2.583s      3.379w     96 calls
| | DFH: compute_JK()               :     19.817u      2.583s      3.374w     96 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     96 calls
| | | DFH: compute_J                :      2.650u      0.000s      0.412w     96 calls
| | | DFH: compute_K                :      8.883u      0.217s      1.367w     96 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     96 calls
HF: Form F                          :      0.017u      0.000s      0.005w     96 calls
HF: Form D                          :      0.000u      0.000s      0.005w     96 calls
HF: DIIS                            :      2.550u      0.267s      0.413w     88 calls
HF: Form C                          :      1.567u      0.017s      0.233w     88 calls

**************************************************************************************

Host: lyskamm-1-1xl40s-4

Timers On : Sun Dec  7 11:56:33 2025
Timers Off: Sun Dec  7 12:00:47 2025

Wall Time:      254.31 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     50.583u      0.650s      7.668w     34 calls
build grid                          :     28.867u      0.183s      4.353w     34 calls
post-process grid                   :     21.633u      0.467s      3.311w     34 calls
DFH: sparsity prep                  :      1.350u      0.017s      0.684w     34 calls
Libint2ERI::Libint2ERI              :      3.700u      0.033s      0.897w    204 calls
DFH: initialize()                   :     66.583u      6.150s     10.971w     34 calls
DFH: AO Construction                :     17.400u      1.617s      2.843w     34 calls
DFH: AO-Met. Contraction            :     15.000u      3.483s      2.771w     34 calls
HF: Form core H                     :      1.017u      0.033s      0.166w     34 calls
HF: Form S/X                        :      0.517u      0.000s      0.080w     34 calls
HF: Guess                           :     10.300u      0.333s      1.583w     34 calls
SAD Guess                           :     10.050u      0.333s      1.553w     34 calls
HF: Form G                          :    597.967u      2.883s     90.031w    390 calls
RV: Form V                          :    545.833u      0.167s     81.798w    390 calls
Properties                          :     76.153p                         925705 calls
Functional                          :     45.098p                         925705 calls
V_xc                                :    204.325p                         925705 calls
JK: D                               :      0.083u      0.000s      0.022w    390 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    390 calls
JK: JK                              :     51.483u      2.700s      8.107w    390 calls
DFH: compute_JK()                   :     51.250u      2.700s      8.088w    390 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    390 calls
DFH: compute_J                      :      9.183u      0.033s      1.370w    390 calls
DFH: compute_K                      :     27.783u      0.300s      4.252w    390 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    390 calls
HF: Form F                          :      0.100u      0.000s      0.019w    390 calls
HF: Form D                          :      0.067u      0.000s      0.016w    390 calls
HF: DIIS                            :     10.250u      0.683s      1.602w    356 calls
HF: Form C                          :      5.333u      0.083s      0.821w    356 calls

--------------------------------------------------------------------------------------
V: Grid                             :     50.583u      0.650s      7.668w     34 calls
| build grid                        :     28.867u      0.183s      4.353w     34 calls
| post-process grid                 :     21.633u      0.467s      3.311w     34 calls
DFH: sparsity prep                  :      1.350u      0.017s      0.684w     34 calls
| Libint2ERI::Libint2ERI            :      0.983u      0.017s      0.459w     34 calls
DFH: initialize()                   :     66.583u      6.150s     10.971w     34 calls
| Libint2ERI::Libint2ERI            :      2.717u      0.017s      0.438w    170 calls
| DFH: AO Construction              :     17.400u      1.617s      2.843w     34 calls
| DFH: AO-Met. Contraction          :     15.000u      3.483s      2.771w     34 calls
HF: Form core H                     :      1.017u      0.033s      0.166w     34 calls
HF: Form S/X                        :      0.517u      0.000s      0.080w     34 calls
HF: Guess                           :     10.300u      0.333s      1.583w     34 calls
| SAD Guess                         :     10.050u      0.333s      1.553w     34 calls
HF: Form G                          :    597.967u      2.883s     90.031w    390 calls
| RV: Form V                        :    545.833u      0.167s     81.798w    390 calls
| | Properties                      :     76.153p                         925705 calls
| | Functional                      :     45.098p                         925705 calls
| | V_xc                            :    204.325p                         925705 calls
| JK: D                             :      0.083u      0.000s      0.022w    390 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w    390 calls
| JK: JK                            :     51.483u      2.700s      8.107w    390 calls
| | DFH: compute_JK()               :     51.250u      2.700s      8.088w    390 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    390 calls
| | | DFH: compute_J                :      9.183u      0.033s      1.370w    390 calls
| | | DFH: compute_K                :     27.783u      0.300s      4.252w    390 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    390 calls
HF: Form F                          :      0.100u      0.000s      0.019w    390 calls
HF: Form D                          :      0.067u      0.000s      0.016w    390 calls
HF: DIIS                            :     10.250u      0.683s      1.602w    356 calls
HF: Form C                          :      5.333u      0.083s      0.821w    356 calls

**************************************************************************************

Host: lyskamm-1-1xl40s-4

Timers On : Sun Dec  7 12:00:53 2025
Timers Off: Sun Dec  7 12:06:14 2025

Wall Time:      320.90 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     56.733u      0.700s      8.610w     39 calls
build grid                          :     32.483u      0.167s      4.901w     39 calls
post-process grid                   :     24.217u      0.533s      3.704w     39 calls
